Entry_Date,Exit_Date,Symbol,Type,Strike,Spot,Premium,Exit_Price,Lots,Lot_Qty,Gross_PnL,Net_PnL,Exit_Reason,RV,RV_Acceleration_3D,IV,IV_Expansion_2D,Gap_Move,Regime,Position_Scale,Risk_Scaled,Entry_Window,Partial_PnL,Streak_Mult,Quality_Score,Spread_Proxy_Pct,Last_Delta
2025-04-04,2025-04-07,NIFTY,STRADDLE,22900.0,22904.449999999753,239.4,323.19,38,75,-238801.51,-241724.94,Stop Loss (1.5x),0.1315,0.101,0.1744,0.0878,0.0149,NORMAL VOL,0.884,True,T-3,0.0,1.0,8.3414,0.0543,0.0
2025-04-21,2025-04-23,BANKNIFTY,STRADDLE,55300.0,55304.5,589.25,589.25,12,30,0.0,-918.2,Trail to Breakeven,0.2213,0.0441,0.2866,0.0328,0.0187,HIGH VOL,0.28,True,T-3,0.0,1.0,8.4055,0.0516,-0.253
2025-04-21,2025-04-24,NIFTY,STRADDLE,24150.0,24125.549999999843,249.4,199.52,11,75,41151.0,40292.37,Profit Lock Trail,0.2163,0.0199,0.2804,0.0224,0.0115,HIGH VOL,0.28,True,T-3,0.0,1.0,8.102,0.0965,-0.4024
2025-04-25,2025-04-28,NIFTY,STRADDLE,24050.0,24039.350000000803,340.85,364.1,16,75,-27899.99,-29313.52,Time Exit,0.213,-0.0156,0.2762,-0.0044,0.0086,HIGH VOL,0.4,True,T-3,0.0,1.0,8.2166,0.1567,-0.4391
2025-05-05,2025-05-07,NIFTY,STRADDLE,24450.0,24461.149999999216,206.55,206.55,16,75,0.0,-1171.79,Trail to Breakeven,0.2038,-0.0477,0.2648,-0.0453,0.0047,HIGH VOL,0.4,True,T-3,0.0,1.0,7.5647,0.1093,0.0947
2025-05-12,2025-05-15,NIFTY,STRADDLE,24900.0,24924.700000000135,400.85,320.68,16,75,96204.0,94682.47,Profit Lock Trail,0.1888,-0.0702,0.246,-0.0308,0.0382,NORMAL VOL,0.4,True,T-3,0.0,1.0,8.847,0.0306,0.5208
2025-05-19,2025-05-21,NIFTY,STRADDLE,24950.0,24945.450000000288,309.45,267.7,16,75,50100.02,48743.01,Time Exit,0.1774,-0.0638,0.2318,-0.0309,0.003,NORMAL VOL,0.4,True,T-3,0.0,1.0,8.6561,0.0688,0.3295
2025-05-26,2025-05-29,NIFTY,STRADDLE,25000.0,25001.14999999919,408.15,326.52,11,75,67344.75,66289.66,Profit Lock Trail,0.1811,0.0058,0.2363,-0.0045,0.006,NORMAL VOL,0.28,True,T-3,0.0,1.0,8.9069,0.0186,0.5689
2025-05-26,2025-05-29,BANKNIFTY,STRADDLE,55600.0,55572.0,1022.2,86.6,14,30,392952.01,391608.02,Profit Target (70%),0.1658,-0.0127,0.2173,-0.0084,0.0031,NORMAL VOL,0.3177,True,T-3,0.0,1.0,8.2507,0.0269,1.0
2025-06-02,2025-06-05,NIFTY,STRADDLE,24700.0,24716.600000000755,441.05,43.8,17,75,441738.74,440045.23,Profit Target (70%),0.1806,0.0021,0.2358,0.0012,0.0014,NORMAL VOL,0.4,True,T-3,114007.5,1.05,8.5427,0.0915,-1.0
2025-06-09,2025-06-12,NIFTY,STRADDLE,25100.0,25103.200000000066,268.1,268.1,41,75,0.0,-3286.61,Trail to Breakeven,0.1207,-0.3385,0.1608,-0.3216,0.004,LOW VOL,0.95,False,T-3,0.0,1.05,8.6336,0.0073,-0.1934
2025-06-16,2025-06-19,NIFTY,STRADDLE,24950.0,24946.5,273.7,218.96,41,75,168325.51,165013.07,Profit Lock Trail,0.107,-0.0073,0.1437,0.0731,0.0092,LOW VOL,0.95,False,T-3,0.0,1.0,8.598,0.029,0.5539
2025-06-23,2025-06-24,NIFTY,STRADDLE,24950.0,24971.899999999245,278.7,376.25,29,75,-212160.38,-214519.64,Stop Loss (1.5x),0.0988,-0.0031,0.1336,0.044,0.0056,LOW VOL,0.665,True,T-3,0.0,1.0,8.5287,0.0523,0.0
2025-06-23,2025-06-24,BANKNIFTY,STRADDLE,56100.0,56059.350000000966,639.7,863.6,33,30,-221656.05,-224256.01,Stop Loss (1.5x),0.0983,0.0759,0.1329,0.0568,0.0034,LOW VOL,0.665,True,T-3,0.0,1.0,8.0367,0.0285,0.0
2025-07-07,2025-07-10,NIFTY,STRADDLE,25450.0,25461.299999999996,229.25,89.8,36,75,376515.0,373786.53,Expiry Close + Partial,0.097,-0.0598,0.1312,-0.0538,0.0,LOW VOL,0.8723,False,T-3,146422.5,1.0,8.1618,0.0178,1.0
2025-07-14,2025-07-17,NIFTY,STRADDLE,25100.0,25082.300000000054,207.35,15.7,41,75,589323.77,586317.37,Profit Target (70%),0.0882,-0.0953,0.1203,-0.0311,0.0027,LOW VOL,0.95,False,T-3,0.0,1.0,7.7874,0.0559,-1.0
