Date,Equity
2025-04-07,9350505.0
2025-04-28,9273865.0
2025-05-08,9372463.0
2025-05-21,9485410.0
2025-05-28,9793017.0
2025-06-05,11013818.0
2025-06-12,11253094.0
2025-06-18,11501221.0
2025-06-25,11286519.0
2025-07-03,11831428.0
2025-07-10,12318156.0
2025-07-16,12536890.0
2025-07-23,12672915.0
2025-07-30,12724321.0
2025-08-06,13002170.0
2025-08-14,13816979.0
2025-08-20,13991067.0
2025-08-26,14292251.0
2025-09-01,14621731.0
2025-09-09,15072718.0
2025-09-15,15350295.0
2025-09-22,15235370.0
2025-09-29,15069216.0
2025-10-06,14832820.0
2025-10-13,14985102.0
2025-10-17,14161484.0
2025-10-27,14419959.0
2025-11-03,14703735.0
2025-11-10,14994031.0
2025-11-18,16324186.0
2025-11-24,16432207.0
2025-12-02,16667661.0
2025-12-08,16996524.0
2025-12-15,17231834.0
2025-12-22,16233690.0
2025-12-29,16057919.0
2026-01-05,16177412.0
2026-01-12,15431651.0
2026-01-20,14496036.0
2026-01-27,15396977.0
2026-02-01,13909618.0
