Entry_Date,Exit_Date,Type,Strike,Spot,Premium,Exit_Price,Lots,Gross_PnL,Net_PnL,Exit_Reason,RV,IV,Risk_Scaled,Entry_Window,Partial_PnL,Streak_Mult
2025-08-22,2025-08-25,STRADDLE,24850,24870.100000000723,233.5,200.6,130,106925.02,99286.71,Time Exit (stale),0.0969,0.1311,False,T-3,0.0,1.0
2025-08-28,2025-09-02,STRADDLE,24500,24500.899999999277,234.4,78.5,134,522265.1,514387.2,Expiry Close +Partial,0.0993,0.1342,False,T-3,218260.015625,1.0
2025-09-04,2025-09-09,STRADDLE,24750,24734.30000000017,200.0,114.95,150,318937.5,310312.5,Expiry Close,0.0983,0.1329,False,T-3,0.0,1.15
2025-09-11,2025-09-16,STRADDLE,25000,25005.5,190.75,231.8,150,-153937.45,-162510.42,Trailing Stop,0.085,0.1163,False,T-3,0.0,1.15
2025-09-18,2025-09-22,STRADDLE,25400,25423.600000000744,171.5,189.95,137,-63191.24,-70922.32,Time Exit (stale),0.0812,0.1115,False,T-3,0.0,1.0
2025-09-25,2025-09-29,STRADDLE,24900,24890.85000000072,201.35,234.4,69,-57011.23,-60982.22,Time Exit (stale),0.0663,0.0928,False,T-3,0.0,0.5
2025-10-01,2025-10-06,STRADDLE,24850,24836.300000000127,191.5,261.95,34,-59882.51,-61826.67,Time Exit (stale),0.0737,0.1021,False,T-3,0.0,0.25
2025-10-09,2025-10-14,STRADDLE,25200,25181.800000000105,171.0,44.55,34,107482.49,105564.47,Profit Target (70%),0.0788,0.1086,False,T-3,0.0,0.25
2025-10-15,2025-10-16,STRADDLE,25300,25323.550000000112,223.35,335.03,136,-379695.1,-387634.16,Stop Loss (1.5x),0.0802,0.1102,False,T-3,0.0,1.0
2025-10-23,2025-10-28,STRADDLE,25900,25891.39999999922,238.85,29.05,129,676604.94,668999.56,Profit Target (70%),0.0843,0.1154,False,T-3,0.0,1.0
2025-10-30,2025-11-04,STRADDLE,25900,25877.850000000777,246.45,300.15,137,-183922.55,-192038.69,Trailing Stop,0.0745,0.1031,False,T-3,0.0,1.0
2025-11-06,2025-11-11,STRADDLE,25500,25509.700000000026,218.1,191.25,136,91290.02,83377.71,Time Exit (stale),0.0799,0.1098,False,T-3,0.0,1.0
2025-11-13,2025-11-18,STRADDLE,25900,25879.149999999245,270.6,18.4,135,851175.06,843055.06,Profit Target (70%),0.0786,0.1083,False,T-3,0.0,1.0
2025-11-20,2025-11-24,STRADDLE,26200,26192.14999999924,242.35,221.2,144,76139.98,67631.29,Time Exit (stale),0.0714,0.0993,False,T-3,0.0,1.0
2025-11-27,2025-12-02,STRADDLE,26200,26215.549999999974,219.15,176.05,150,161625.08,152892.36,Trailing Stop,0.0823,0.1128,False,T-3,0.0,1.15
2025-12-04,2025-12-09,STRADDLE,26050,26033.75,207.0,310.5,150,-388125.0,-396789.38,Stop Loss (1.5x),0.072,0.1,False,T-3,0.0,1.15
2025-12-18,2025-12-22,STRADDLE,25800,25815.550000000083,200.0,300.0,144,-360000.0,-368280.0,Stop Loss (1.5x),0.0794,0.1093,False,T-3,0.0,1.0
2026-01-01,2026-01-05,STRADDLE,26150,26146.55000000013,160.0,240.0,68,-136000.0,-139808.0,Stop Loss (1.5x),0.0756,0.1045,False,T-3,0.0,0.5
2026-01-14,2026-01-20,STRADDLE,25650,25665.60000000073,249.9,374.85,17,-53103.74,-54113.06,Stop Loss (1.5x),0.0761,0.1051,False,T-3,0.0,0.25
