Entry_Date,Exit_Date,Type,Strike,Spot,Premium,Exit_Price,Lots,Gross_PnL,Net_PnL,Exit_Reason,RV,IV,Risk_Scaled,Entry_Window,Partial_PnL,Streak_Mult
2025-04-04,2025-04-07,STRADDLE,22900,22904.449999999753,239.4,359.1,134,-400995.0,-408898.0,Stop Loss (1.5x),0.1315,0.1744,False,T-3,0.0,1.0
2025-04-25,2025-04-28,STRADDLE,24050,24039.350000000803,340.85,364.1,122,-70912.5,-78571.89,Time Exit (stale),0.213,0.2762,False,T-3,0.0,1.0
2025-05-05,2025-05-08,STRADDLE,24450,24461.149999999216,206.55,155.55,59,75224.98,71817.98,Expiry Close,0.2038,0.2648,False,T-3,0.0,0.5
2025-05-19,2025-05-21,STRADDLE,24950,24945.450000000288,309.45,267.7,118,123162.5,115893.19,Time Exit (stale),0.1774,0.2318,False,T-3,0.0,1.0
2025-06-09,2025-06-12,STRADDLE,25100,25103.200000000066,268.1,206.25,118,182457.52,175371.19,Trailing Stop,0.1207,0.1608,False,T-3,0.0,1.0
2025-06-16,2025-06-19,STRADDLE,24950,24946.5,273.7,149.05,140,436275.1,427838.12,Expiry Close,0.107,0.1437,False,T-3,0.0,1.15
2025-06-23,2025-06-24,STRADDLE,24950,24971.899999999245,278.7,418.05,145,-505143.75,-513909.2,Stop Loss (1.5x),0.0988,0.1336,False,T-3,0.0,1.15
2025-07-07,2025-07-10,STRADDLE,25450,25461.299999999996,229.25,89.8,118,411377.53,404463.1,Expiry Close +Partial,0.097,0.1312,False,T-3,170826.234375,1.0
2025-07-14,2025-07-17,STRADDLE,25100,25082.300000000054,207.35,15.7,125,598906.3,591684.4,Profit Target (70%),0.0882,0.1203,False,T-3,0.0,1.0
2025-07-21,2025-07-23,STRADDLE,25100,25090.699999999928,186.15,154.3,132,105104.97,97583.52,Time Exit (stale),0.0788,0.1085,False,T-3,0.0,1.0
2025-07-28,2025-07-30,STRADDLE,24700,24680.89999999929,213.55,200.35,150,49499.99,40798.77,Time Exit (stale),0.0697,0.0971,False,T-3,0.0,1.15
2025-08-04,2025-08-07,STRADDLE,24700,24722.75,237.0,355.5,150,-444375.0,-453208.12,Stop Loss (1.5x),0.0824,0.113,False,T-3,0.0,1.15
2025-08-18,2025-08-20,STRADDLE,24900,24876.949999999884,221.1,184.8,129,117067.45,109547.88,Time Exit (stale),0.0974,0.1317,False,T-3,0.0,1.0
