Date,Closed_Equity,Open_Positions,Margin_Used,Equity,Peak_Equity,Drawdown_Pct,Daily_Return,Rolling_Sharpe_30D
2025-07-14,11336986.68,1,635836.31,11336986.71,11550489.09,-1.8484271820562226,2.6462059210530242e-09,2.7603841770150357
2025-07-15,11336986.68,1,635836.31,11431756.68,11550489.09,-1.0279427050651435,0.008359361479748806,2.22583227180587
2025-07-16,11336986.68,1,635836.31,11534521.7,11550489.09,-0.1382399470324147,0.008989433809397651,1.852085550992926
2025-07-17,12080608.71,0,0.0,12080608.71,12080608.71,0.0,0.04734370650150166,2.7237959517194743
2025-07-18,12080608.71,0,0.0,12080608.71,12080608.71,0.0,0.0,2.7237959517194743
2025-07-21,12080608.71,1,684976.11,12080608.68,12080608.71,-2.4833186618167247e-07,-2.4833186618167247e-09,2.7237958628140793
2025-07-22,12080608.71,1,684976.11,12278428.69,12278428.69,0.0,0.01637500354824839,2.5263384203741714
2025-07-23,12080608.71,1,684976.11,12214378.68,12278428.69,-0.521646634248607,-0.00521646634248607,2.0946637075642536
2025-07-24,12233001.96,0,0.0,12233001.96,12278428.69,-0.36997185182983117,0.0015247013776062968,3.4753397977575635
2025-07-25,12233001.96,0,0.0,12233001.96,12278428.69,-0.36997185182983117,0.0,3.4753397977575635
2025-07-28,12233001.96,2,953372.2,12233001.92,12278428.69,-0.36997217760442735,-3.2698433960476336e-09,3.4753394867861074
2025-07-29,12233001.96,2,953372.2,12433580.91,12433580.91,0.0,0.01639654692378234,3.5633751165229746
2025-07-30,12269640.97,1,472094.65,12592872.95,12592872.95,0.0,0.012811437119605973,3.8585799320229484
2025-07-31,12414262.33,0,0.0,12414262.33,12592872.95,-1.418346875325216,-0.01418346875325216,3.3367322912342163
2025-08-01,12414262.33,0,0.0,12414262.33,12592872.95,-1.418346875325216,0.0,3.3367322912342163
2025-08-04,12414262.33,1,699035.76,12414262.29,12592872.95,-1.418347192965208,-3.222100475319678e-09,3.336732098764097
2025-08-05,12414262.33,1,699035.76,12635677.3,12635677.3,0.0,0.017835535034438355,7.615975019783201
2025-08-06,12414262.33,1,699035.76,12678959.83,12678959.83,0.0,0.0034254222367644527,7.809565857079613
2025-08-07,12616005.9,0,0.0,12616005.9,12678959.83,-0.4965228287185153,-0.004965228287185153,7.485984244007629
2025-08-08,12616005.9,0,0.0,12616005.9,12678959.83,-0.4965228287185153,0.0,7.485984244007629
2025-08-11,12616005.9,1,671171.87,12616005.9,12678959.83,-0.4965228287185153,0.0,7.485984244007629
2025-08-12,12616005.9,1,671171.87,12736965.9,12736965.9,0.0,0.009587820500305932,7.960417099522984
2025-08-13,12616005.9,1,671171.87,12962715.88,12962715.88,0.0,0.017723999716447336,8.686641033553538
2025-08-14,13323594.96,0,0.0,13323594.96,13323594.96,0.0,0.027839773959467573,9.499577679803524
2025-08-18,13323594.96,1,751905.81,13323594.96,13323594.96,0.0,0.0,9.499577679803524
2025-08-19,13323594.96,1,751905.81,13521684.95,13521684.95,0.0,0.014867608223959383,10.165055996971477
2025-08-20,13323594.96,1,751905.81,13492389.92,13521684.95,-0.21665221537349177,-0.0021665221537349177,9.401424055831457
2025-08-21,13477285.27,0,0.0,13477285.27,13521684.95,-0.3283590777641954,-0.0011194940325294223,8.624171230128246
2025-08-22,13477285.27,1,763822.95,13477285.27,13521684.95,-0.3283590777641954,0.0,7.978860525561421
2025-08-25,13477285.27,1,763822.95,13632737.8,13632737.8,0.0,0.011534409703861659,8.510061825058774
2025-08-26,13477285.27,1,763822.95,13763384.02,13763384.02,0.0,0.009583270940632271,8.980296589839016
2025-08-28,13472480.34,1,764428.08,13472480.34,13763384.02,-2.1136057787625395,-0.021136057787625395,7.018980452412596
2025-08-29,13472480.34,1,764428.08,13752320.39,13763384.02,-0.08038451869047947,0.02077123461588215,7.34994525950428
2025-09-01,13472480.34,1,764428.08,13778000.39,13778000.39,0.0,0.0018673212426516539,6.823791643358589
2025-09-02,13692616.67,0,0.0,13692616.67,13778000.39,-0.6197105355140731,-0.006197105355140731,6.415140978177361
2025-09-03,13692616.67,0,0.0,13692616.67,13778000.39,-0.6197105355140731,0.0,6.415141123919254
2025-09-04,13692616.67,1,771710.16,13692616.67,13778000.39,-0.6197105355140731,0.0,5.709912432671013
2025-09-05,13692616.67,1,771710.16,13837816.67,13837816.67,0.0,0.010604255088666026,6.566937616481501
2025-09-08,13692616.67,1,771710.16,14052856.68,14052856.68,0.0,0.015540024494340887,7.163920620208394
2025-09-09,14096216.67,0,0.0,14096216.67,14096216.67,0.0,0.003085492934807421,7.34352019168167
2025-09-10,14096216.67,0,0.0,14096216.67,14096216.67,0.0,0.0,7.343520394530842
2025-09-11,14096216.67,1,792361.78,14096216.67,14096216.67,0.0,0.0,6.6312640481325325
2025-09-12,14096216.67,1,792361.78,14082322.91,14096216.67,-0.09856375171621856,-0.0009856375171621856,5.963292206860054
2025-09-15,14096216.67,1,792361.78,14351179.16,14351179.16,0.0,0.019091754373071756,7.875310189007234
2025-09-16,14091571.81,0,0.0,14091571.81,14351179.16,-1.8089618079856762,-0.018089618079856762,6.386053388619831
2025-09-17,14091571.81,0,0.0,14091571.81,14351179.16,-1.8089618079856762,0.0,6.386053574375612
2025-09-18,14091571.81,1,793216.32,14091571.81,14351179.16,-1.8089618079856762,0.0,5.648404121961446
2025-09-19,14091571.81,1,793216.32,14230051.8,14351179.16,-0.8440237464083067,0.00982715000619927,5.941465655424513
2025-09-22,13998577.03,0,0.0,13998577.03,14351179.16,-2.4569558087796928,-0.016266614714642302,5.121256421906609
2025-09-23,13998577.03,0,0.0,13998577.03,14351179.16,-2.4569558087796928,0.0,5.121256421906609
