timestamp,equity,open_pnl,closed_pnl,drawdown_pct,active_positions,trades_today,regime,daily_return_pct
2026-03-26T21:14:35.972045,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:14:37.990132,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:14:40.003508,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:14:42.017448,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:14:44.028399,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:48:08.159018,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:48:10.174866,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-03-26T21:48:12.184136,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:25.215920,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:26.239191,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:27.250593,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:28.265583,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:29.279450,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:30.292150,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:31.306180,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:32.317800,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:33.330130,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:34.345270,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:35.357677,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:36.370523,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:37.382799,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:38.396682,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:39.412220,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:40.427420,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:41.441347,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:42.452941,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:43.462531,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:44.476967,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:45.489685,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:46.501584,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:47.513559,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:48.525097,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:49.536996,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:50.549111,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:51.561865,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:52.574886,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:53.584830,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:54.598893,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:55.614580,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:56.629362,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T10:00:57.641600,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:01.309776,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:02.331029,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:03.342385,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:04.354754,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:05.367643,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:06.380939,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:07.393252,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:08.401585,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:09.414721,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:10.429116,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:11.442722,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:12.457063,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:13.469117,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:14.482173,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:15.493898,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:16.507251,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:16:17.520342,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:00.461637,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:01.482830,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:02.494237,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:03.506917,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:04.520039,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:05.532774,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:06.547193,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:07.559349,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:08.571680,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:09.585687,10000000.0,0,0.0,0.0,0,0,?,0.0
2026-04-06T11:54:10.600002,10000000.0,0,0.0,0.0,0,0,?,0.0
